city,year_month,n_posts,mean_polarity,median_polarity,pct_negative,pct_positive,pct_neutral,n_posts_crime,mean_polarity_crime,median_polarity_crime,pct_negative_crime,pct_positive_crime,pct_neutral_crime
Edmonton,2013-09,29.0,0.09218800650261484,0.1011033681765389,0.1724137931034483,0.7586206896551724,0.06896551724137931,23.0,0.08950644869820552,0.0900951479076479,0.17391304347826086,0.7391304347826086,0.08695652173913043
Edmonton,2013-10,36.0,0.08258299831243565,0.0942824324595157,0.1111111111111111,0.6388888888888888,0.25,25.0,0.08659887160991712,0.1028720705927118,0.08,0.72,0.2
Edmonton,2013-11,29.0,0.07204907680790623,0.0638888888888888,0.10344827586206896,0.5862068965517241,0.3103448275862069,18.0,0.0632684528799003,0.0669868999160043,0.1111111111111111,0.5555555555555556,0.3333333333333333
Edmonton,2013-12,37.0,0.08295588981554969,0.072872736582414,0.1891891891891892,0.5945945945945946,0.21621621621621623,21.0,0.03950102161180298,0.0329320679320679,0.2857142857142857,0.47619047619047616,0.23809523809523808
Regina,2010-02,3.0,0.06892320401434983,0.0481481481481481,0.0,0.3333333333333333,0.6666666666666666,3.0,0.06892320401434983,0.0481481481481481,0.0,0.3333333333333333,0.6666666666666666
Regina,2010-06,1.0,0.0154252177863289,0.0154252177863289,0.0,0.0,1.0,1.0,0.0154252177863289,0.0154252177863289,0.0,0.0,1.0
Regina,2010-07,1.0,0.0499999999999999,0.0499999999999999,0.0,0.0,1.0,1.0,0.0499999999999999,0.0499999999999999,0.0,0.0,1.0
Regina,2010-08,1.0,-0.2083333333333333,-0.2083333333333333,1.0,0.0,0.0,1.0,-0.2083333333333333,-0.2083333333333333,1.0,0.0,0.0
Regina,2010-09,2.0,0.16002699344144014,0.16002699344144014,0.0,1.0,0.0,1.0,0.1296025979939915,0.1296025979939915,0.0,1.0,0.0
Regina,2010-10,2.0,0.010480453249007954,0.010480453249007954,0.5,0.5,0.0,2.0,0.010480453249007954,0.010480453249007954,0.5,0.5,0.0
Regina,2011-01,2.0,0.050706469456469505,0.050706469456469505,0.5,0.5,0.0,,,,,,
Regina,2011-02,2.0,0.23382932213289354,0.23382932213289354,0.0,1.0,0.0,2.0,0.23382932213289354,0.23382932213289354,0.0,1.0,0.0
Regina,2011-04,1.0,0.1708544280578179,0.1708544280578179,0.0,1.0,0.0,1.0,0.1708544280578179,0.1708544280578179,0.0,1.0,0.0
