Date,City,Temperature_C_max,Temperature_C_min,Dew_Point_C_mean,Relative_Humidity_Pct_mean,Rain_mm_sum,Snow_cm_sum,Snow_On_Ground_cm_mean,Wind_Speed_kmh_mean,Max_Gust_Speed_kmh_max,Station_Pressure_kPa_mean,Visibility_km_mean,Cooling_Degree_Days_sum,Heating_Degree_Days_sum,Humidex_mean,Wind_Chill_mean
2010-02-28,Saskatoon,-8.296428571428573,-19.95357142857143,-15.4,86.30357142857143,0.0,0.0,,10.523809523809524,46.0,95.93566964285715,,0.0,900.0,,-19.3424363485893
2010-03-31,Saskatoon,5.141935483870968,-6.238709677419355,-4.685215053763441,77.85349462365592,0.0,0.0,,15.150537634408602,67.0,95.30399193548386,,0.0,574.9,,-8.315200151747021
2010-04-30,Saskatoon,13.043333333333333,-0.15000000000000005,-1.4969444444444444,63.86111111111111,0.0,0.0,,18.88888888888889,89.0,94.97708333333334,,0.0,346.0,,-6.789340281567172
2010-05-31,Saskatoon,15.609677419354838,3.6645161290322585,2.9784946236559144,69.30510752688173,0.0,0.0,,19.190860215053764,76.0,95.22047043010753,,8.4,267.0,26.191161616161615,-4.15
2010-06-30,Saskatoon,20.96896551724138,9.703333333333335,10.819464285714286,75.43531746031746,0.0,0.0,,15.135714285714284,72.0,95.18138690476191,,11.0,90.4,26.908592417683327,
2010-07-31,Saskatoon,23.33225806451613,11.893548387096773,13.255890603085554,77.61179289387564,0.0,0.0,,13.694015895278167,65.0,95.1449585086489,,17.900000000000002,29.1,27.38720168720169,
2010-08-31,Saskatoon,22.1,10.141935483870967,12.017578307620385,79.55160121552127,0.0,0.0,,12.745383356708741,57.0,95.11316678354372,,16.3,73.7,28.244727494727496,
2010-09-30,Saskatoon,16.227586206896554,4.736666666666666,5.924166666666666,77.62929292929293,0.0,0.0,,14.489646464646464,52.0,95.36191792929293,,0.6,218.3,25.75,-4.910052910052911
2010-10-31,Saskatoon,13.464516129032257,-0.3806451612903226,1.3311827956989246,75.32930107526882,0.0,0.0,,14.649193548387096,59.0,95.32846774193548,,0.0,354.7,25.0,-6.232637362637362
2010-11-30,Saskatoon,-2.0866666666666664,-10.81,-8.526313131313131,84.37840909090909,0.0,0.0,,13.410479797979798,52.0,95.53020580808081,,0.0,733.8,,-13.874291399085374
2010-12-31,Saskatoon,-10.27741935483871,-17.62258064516129,-15.643413978494623,85.38037634408602,0.0,0.0,,14.55241935483871,52.0,95.61439516129032,,0.0,991.5,,-20.81744513862326
2011-01-31,Saskatoon,-10.687096774193549,-20.299999999999997,-17.478629032258063,83.49327956989247,0.0,0.0,19.53846153846154,14.876344086021506,63.0,95.70075268817205,,0.0,1039.0,,-22.87962285063673
2011-02-28,Saskatoon,-9.414285714285715,-21.689285714285713,-17.259213250517597,81.90857919254658,0.0,0.0,19.678571428571427,17.37868788819876,63.0,95.38952833850932,,0.0,939.9,,-23.341418348249086
2011-03-31,Saskatoon,-6.32258064516129,-15.541935483870969,-12.871676441837732,82.50843108504398,0.0,0.0,28.0,16.15090420332356,56.0,95.77637707722386,,0.0,897.5,,-17.317144408887046
2011-04-30,Saskatoon,9.520689655172415,-3.1599999999999997,-2.2813333333333334,71.51944444444445,0.0,0.0,13.0,15.974722222222223,70.0,95.07285277777778,,0.0,432.0,,-6.194066221844
2011-05-31,Saskatoon,17.925806451612903,3.8774193548387097,2.5919354838709676,60.72446236559139,0.0,0.0,,16.428763440860216,69.0,95.4848252688172,,0.4,219.8,25.25,-3.75
2011-06-30,Saskatoon,21.33,9.623333333333333,9.574088164251208,70.07874396135266,0.0,0.0,,14.772463768115943,67.0,94.91163707729469,,12.0,86.8,26.461631832220068,
2011-07-31,Saskatoon,24.636666666666667,12.196774193548388,12.859354838709677,71.13064516129033,0.0,0.0,,16.04005376344086,72.0,95.04079838709677,,37.8,26.3,28.12367169275737,
2011-08-31,Saskatoon,24.87037037037037,9.239285714285714,10.904942528735633,69.1985632183908,0.0,0.0,,13.74117405582923,61.0,95.12170361247948,,14.5,37.4,26.77217958808868,
2011-09-30,Saskatoon,23.6,5.796666666666667,5.309444444444444,59.8875,0.0,0.0,,13.706944444444446,63.0,95.47548611111111,,19.0,117.3,28.19189814814815,-4.416666666666666
2011-10-31,Saskatoon,12.770000000000001,0.05806451612903228,1.1488681380871533,73.61629881154498,0.0,0.0,,15.629032258064516,63.0,95.14303056027165,,0.0,346.6,,-6.883317793317793
2011-11-30,Saskatoon,-0.05666666666666655,-10.206666666666667,-8.000972222222222,80.48194444444445,0.0,0.0,,15.620833333333334,63.0,94.94451388888889,,0.0,694.5,,-11.635933353375808
2011-12-31,Saskatoon,-1.3032258064516131,-11.209677419354838,-8.845430107526882,81.46774193548387,0.0,0.0,,16.673387096774192,63.0,95.27786290322581,,0.0,752.6,,-12.570642821414209
2012-01-31,Saskatoon,-4.716129032258064,-16.07741935483871,-13.33619257086999,77.31659335288367,0.0,0.0,,15.478616813294233,72.0,95.0995576735093,,0.0,881.2,,-17.0892030657529
2012-02-29,Saskatoon,-2.5448275862068965,-14.906896551724138,-11.567528735632184,80.5646551724138,0.0,0.0,,12.425287356321839,50.0,95.67548850574713,,0.0,775.8,,-14.529825086853462
2012-03-31,Saskatoon,5.025806451612904,-5.645161290322581,-4.120295698924731,77.58064516129032,0.0,0.0,,16.275537634408604,74.0,94.67638440860215,,0.0,567.5,,-8.615506449055648
2012-04-30,Saskatoon,10.548275862068964,-1.82,-2.441416666666667,66.22833333333332,0.0,0.0,,17.75861111111111,61.0,95.40110555555556,,0.0,394.0,,-6.782741527983743
2012-05-31,Saskatoon,16.412903225806453,3.7451612903225806,3.0345839177185603,65.49988312295466,0.0,0.0,,21.30128205128205,61.0,95.27995383356709,,1.0,245.8,,
2012-06-30,Saskatoon,21.509999999999998,10.016666666666667,10.520138888888889,73.23888888888888,0.0,0.0,,16.766666666666666,95.0,94.90897222222223,,10.4,76.8,26.515938606847694,
